,proportion,type,ROI,net,layer
0,0.4564642754441012,perceptual,IT,dcrandom,ReLu2
1,0.04118438730122556,semantic,IT,dcrandom,ReLu2
2,-0.4113225649837057,perceptual,IT,dcrandom,ReLu2
3,0.03281668445088343,semantic,IT,dcrandom,ReLu2
4,0.8311454288994957,perceptual,IT,dcrandom,ReLu2
5,0.10159203998027254,semantic,IT,dcrandom,ReLu2
6,0.10628298124087797,perceptual,IT,dcrandom,ReLu2
7,0.05546568207056933,semantic,IT,dcrandom,ReLu2
8,-0.5237498942942859,perceptual,IT,dcrandom,ReLu2
9,0.042627597680179596,semantic,IT,dcrandom,ReLu2
10,0.6163250579726626,perceptual,IT,dcrandom,ReLu2
11,0.1546633539293609,semantic,IT,dcrandom,ReLu2
12,0.14892656111185215,perceptual,IT,dcrandom,ReLu2
13,0.08598269778388833,semantic,IT,dcrandom,ReLu2
14,0.09179602847596291,perceptual,IT,dcrandom,ReLu2
15,0.0230664003942261,semantic,IT,dcrandom,ReLu2
16,0.24141388371337782,perceptual,IT,dcrandom,ReLu2
17,0.05170417123797311,semantic,IT,dcrandom,ReLu2
18,0.36358414735311917,perceptual,IT,dcrandom,ReLu2
19,0.1316104032289498,semantic,IT,dcrandom,ReLu2
20,0.24497900584212584,perceptual,IT,dcrandom,ReLu2
21,0.06462080046288059,semantic,IT,dcrandom,ReLu2
22,0.594149817516297,perceptual,IT,dcrandom,ReLu2
23,0.06925428080263411,semantic,IT,dcrandom,ReLu2
24,0.2702908062074259,perceptual,IT,dcrandom,ReLu2
25,0.09431679231794278,semantic,IT,dcrandom,ReLu2
26,0.5675396444313119,perceptual,IT,dcrandom,ReLu2
27,0.03582968389137652,semantic,IT,dcrandom,ReLu2
28,0.30443370002067005,perceptual,IT,dcrandom,ReLu2
29,0.044216012461049135,semantic,IT,dcrandom,ReLu2
30,0.41378049918656806,perceptual,IT,dcrandom,ReLu7
31,0.014238563885770477,semantic,IT,dcrandom,ReLu7
32,-0.47157338292596257,perceptual,IT,dcrandom,ReLu7
33,0.01019639021076174,semantic,IT,dcrandom,ReLu7
34,0.4191956609940825,perceptual,IT,dcrandom,ReLu7
35,0.02593500415328974,semantic,IT,dcrandom,ReLu7
36,0.6869840615487004,perceptual,IT,dcrandom,ReLu7
37,0.027112655284091316,semantic,IT,dcrandom,ReLu7
38,-0.15067196351977938,perceptual,IT,dcrandom,ReLu7
39,-0.003609742473247288,semantic,IT,dcrandom,ReLu7
40,0.4191323865087673,perceptual,IT,dcrandom,ReLu7
41,0.03818601175624669,semantic,IT,dcrandom,ReLu7
42,0.19825737492519377,perceptual,IT,dcrandom,ReLu7
43,0.020528377189781156,semantic,IT,dcrandom,ReLu7
44,0.7529952184113521,perceptual,IT,dcrandom,ReLu7
45,0.01572552607279879,semantic,IT,dcrandom,ReLu7
46,0.3314041902322407,perceptual,IT,dcrandom,ReLu7
47,0.013940655527376776,semantic,IT,dcrandom,ReLu7
48,0.6181858938555177,perceptual,IT,dcrandom,ReLu7
49,0.05161182655444446,semantic,IT,dcrandom,ReLu7
50,0.5103396902966962,perceptual,IT,dcrandom,ReLu7
51,0.022688527934886505,semantic,IT,dcrandom,ReLu7
52,0.916714026006389,perceptual,IT,dcrandom,ReLu7
53,0.01639239045614733,semantic,IT,dcrandom,ReLu7
54,0.5009875009321195,perceptual,IT,dcrandom,ReLu7
55,0.04070516547515144,semantic,IT,dcrandom,ReLu7
56,0.4897064241450875,perceptual,IT,dcrandom,ReLu7
57,0.007206084941335165,semantic,IT,dcrandom,ReLu7
58,0.30826448562723996,perceptual,IT,dcrandom,ReLu7
59,0.013255299725071874,semantic,IT,dcrandom,ReLu7
60,1.3516258128051213,perceptual,IT,dctrained,ReLu2
61,0.5798038074385867,semantic,IT,dctrained,ReLu2
62,1.5175027949447597,perceptual,IT,dctrained,ReLu2
63,-0.1257291768714905,semantic,IT,dctrained,ReLu2
64,0.901262503772165,perceptual,IT,dctrained,ReLu2
65,0.21762555987223997,semantic,IT,dctrained,ReLu2
66,0.1394509408270287,perceptual,IT,dctrained,ReLu2
67,0.08156563869257251,semantic,IT,dctrained,ReLu2
68,-0.07328712986287311,perceptual,IT,dctrained,ReLu2
69,0.020176417345569474,semantic,IT,dctrained,ReLu2
70,-0.8770952289562188,perceptual,IT,dctrained,ReLu2
71,-0.2388869599244799,semantic,IT,dctrained,ReLu2
72,12.037216333252491,perceptual,IT,dctrained,ReLu2
73,2.7764750201097015,semantic,IT,dctrained,ReLu2
74,-0.1278979037937182,perceptual,IT,dctrained,ReLu2
75,0.08165231307202667,semantic,IT,dctrained,ReLu2
76,0.4833664989632165,perceptual,IT,dctrained,ReLu2
77,0.14821209252407652,semantic,IT,dctrained,ReLu2
78,0.4330205627256382,perceptual,IT,dctrained,ReLu2
79,0.2563995127181577,semantic,IT,dctrained,ReLu2
80,0.6560430759908312,perceptual,IT,dctrained,ReLu2
81,0.20781666799860016,semantic,IT,dctrained,ReLu2
82,1.4511993148362767,perceptual,IT,dctrained,ReLu2
83,0.8778921969369657,semantic,IT,dctrained,ReLu2
84,0.45257530250113504,perceptual,IT,dctrained,ReLu2
85,0.1111839550216265,semantic,IT,dctrained,ReLu2
86,2.393374204541544,perceptual,IT,dctrained,ReLu2
87,0.1710364638553606,semantic,IT,dctrained,ReLu2
88,0.8608359634971333,perceptual,IT,dctrained,ReLu2
89,0.16980736655684625,semantic,IT,dctrained,ReLu2
90,-0.03831760552094971,perceptual,IT,dctrained,ReLu7
91,0.19872285010441051,semantic,IT,dctrained,ReLu7
92,-1.1587154919129443,perceptual,IT,dctrained,ReLu7
93,0.013053065891488852,semantic,IT,dctrained,ReLu7
94,0.29418261670900464,perceptual,IT,dctrained,ReLu7
95,0.4500489073226798,semantic,IT,dctrained,ReLu7
96,0.0064078160161690914,perceptual,IT,dctrained,ReLu7
97,0.12900377204400784,semantic,IT,dctrained,ReLu7
98,-0.13085996500935698,perceptual,IT,dctrained,ReLu7
99,-0.11776325020752577,semantic,IT,dctrained,ReLu7
100,0.023821506545617974,perceptual,IT,dctrained,ReLu7
101,0.4147715785855171,semantic,IT,dctrained,ReLu7
102,0.1269812449466717,perceptual,IT,dctrained,ReLu7
103,0.27641240703798414,semantic,IT,dctrained,ReLu7
104,-0.20609649171790098,perceptual,IT,dctrained,ReLu7
105,0.07320332061153709,semantic,IT,dctrained,ReLu7
106,0.15528931284769348,perceptual,IT,dctrained,ReLu7
107,0.22174286330218257,semantic,IT,dctrained,ReLu7
108,-0.10535400305097056,perceptual,IT,dctrained,ReLu7
109,0.1702109781042083,semantic,IT,dctrained,ReLu7
110,-0.0661272345054661,perceptual,IT,dctrained,ReLu7
111,0.20183429547763576,semantic,IT,dctrained,ReLu7
